"年月","総合","生鮮食品を除く総合","生鮮食品及びエネルギーを除く総合","エネルギー","食料","住居","光熱・水道","家具・家事用品","被服及び履物","保健医療","交通・通信","教育","教養娯楽","諸雑費"
1970/01,25.1,25.6,,,22.4,19.4,23.8,70.6,23.5,34.5,40.3,16.8,35.1,26.6
1970/02,25.2,25.6,,,22.4,19.5,23.9,70.6,23.2,36.9,40.3,16.8,35.1,26.7
1970/03,25.6,25.8,,,22.9,20.2,24.1,71.4,23.3,36.9,41.7,16.8,35.1,26.9
1970/04,25.7,26,,,22.9,21.1,23.5,71,23.7,36.9,40.7,17.1,35.5,27
1970/05,25.6,26.1,,,22.3,21.1,23.9,71.4,24.3,36.9,40.7,17.1,35.7,26.9
1970/06,25.6,26.2,,,22.1,21.1,23.9,71.5,24.6,37,40.8,17.1,35.7,26.9
1970/07,25.4,26.2,,,21.8,21.1,23.9,71.5,25,37.2,40.8,17.1,35.5,27
1970/08,25.4,26.2,,,21.9,21.3,23.9,71.5,23.9,37,40.8,17.1,35.9,27.1
1970/09,25.8,26.5,,,22.2,21.2,25.6,72.9,25.6,37,40.8,17.1,35.8,27.1
1970/10,26.2,26.7,,,23.1,21.3,25.6,72.7,25.9,37,41,17.1,35.6,27.1
1970/11,26.3,26.9,,,22.9,21.5,25.8,72.9,26.2,37.2,41,17.1,36.2,27.3
1970/12,26.6,27,,,23.4,21.5,25.8,72.9,26.3,37.3,41,17.1,36.8,27.5
1971/01,26.8,27,,,24,21.6,25.8,73,25.2,37.3,42.3,17.1,36.8,27.8
1971/02,26.7,27,,,23.9,21.6,25.8,73.3,24.2,37.3,42.3,17.6,36.6,27.9
1971/03,26.7,27.1,,,23.8,21.6,25.8,74.2,24.8,37.3,42.3,17.6,36.7,27.9
1971/04,26.7,27.1,,,23.6,21.2,26,75.9,25.1,37.3,41.1,17.7,38.3,27.9
1971/05,26.7,27.3,,,23.2,21.7,26,75.4,26.3,37.3,41.3,17.7,38.2,27.9
1971/06,26.8,27.6,,,22.9,22.4,26,75.4,27.5,37.4,41.3,17.7,38.2,27.9
1971/07,27,27.7,,,23.2,22.8,26,74.7,27.4,37.4,41.8,17.7,38.5,27.9
