年月日	総数	男	女	人口増減数	自然増減数	出生者数	死亡者数	社会増減数	県外からの転入者数	県外への転出者数	世帯数	世帯増減数
2011-01-01	1371440	645193	726247	-587	-575	742	1317	-12	1151	1163	513831	113
2011-02-01	1370616	644812	725804	-824	-759	830	1589	-65	1058	1123	513788	-43
2011-03-01	1369747	644310	725437	-869	-620	681	1301	-249	1017	1266	513875	87
2011-04-01	1365932	642187	723745	-3815	-782	797	1579	-3033	2887	5920	513372	-503
2011-05-01	1365013	641714	723299	-919	-600	738	1338	-319	3911	4230	515039	1667
2011-06-01	1364631	641502	723129	-382	-528	879	1407	146	2224	2078	515328	289
2011-07-01	1364252	641261	722991	-379	-406	853	1259	27	1506	1479	515561	233
2011-08-01	1363895	641084	722811	-357	-418	796	1214	61	2013	1952	515970	409
2011-09-01	1363591	640968	722623	-304	-450	877	1327	146	2210	2064	516241	271
2011-10-01	1363038	640662	722376	-553	-443	781	1224	-110	1474	1584	516494	253
2011-11-01	1362455	640365	722090	-583	-618	775	1393	35	1479	1444	516720	226
2011-12-01	1361835	640067	721768	-620	-572	793	1365	-48	1154	1202	516791	71
2012-01-01	1361053	639658	721395	-782	-726	732	1458	-56	1035	1091	516824	33
2012-02-01	1360012	639170	720842	-1041	-805	816	1621	-236	963	1199	516672	-152
2012-03-01	1358799	638575	720224	-1213	-893	709	1602	-320	1012	1332	516507	-165
2012-04-01	1353174	635460	717714	-5625	-756	742	1498	-4869	3822	8691	515737	-770
2012-05-01	1352715	635268	717447	-459	-661	716	1377	202	3907	3705	517804	2067
2012-06-01	1352007	634904	717103	-708	-674	832	1506	-34	1488	1522	518059	255
2012-07-01	1351462	634663	716799	-545	-579	692	1271	34	1270	1236	518295	236
2012-08-01	1350937	634474	716463	-525	-479	827	1306	-46	1829	1875	518987	692
2012-09-01	1350523	634348	716175	-414	-548	823	1371	134	1931	1797	519291	304
2012-10-01	1349969	634196	715773	-554	-445	736	1181	-109	1382	1491	519453	162
2012-11-01	1349295	633891	715404	-674	-756	814	1570	82	1606	1524	519633	180
2012-12-01	1348616	633609	715007	-679	-690	750	1440	11	1158	1147	519720	87
2013-01-01	1347650	633189	714461	-966	-807	742	1549	-159	959	1118	519532	-188
2013-02-01	1346535	632638	713897	-1115	-994	816	1810	-121	1010	1131	519479	-53
2013-03-01	1345439	632089	713350	-1096	-822	655	1477	-274	992	1266	519307	-172
2013-04-01	1338972	628700	710272	-6467	-797	704	1501	-5670	3440	9110	517985	-1322
2013-05-01	1339044	628822	710222	72	-690	768	1458	762	4085	3323	520666	2681
2013-06-01	1338181	628322	709859	-863	-634	794	1428	-229	1330	1559	520806	140
2013-07-01	1337580	628017	709563	-601	-546	683	1229	-55	1218	1273	520884	78
2013-08-01	1337098	627880	709218	-482	-488	813	1301	6	1760	1754	521350	466
2013-09-01	1336664	627695	708969	-434	-508	781	1289	74	1854	1780	521572	222
2013-10-01	1336206	627579	708627	-458	-523	750	1273	65	1563	1498	521852	280
2013-11-01	1335656	627359	708297	-550	-526	889	1415	-24	1527	1551	522039	187
2013-12-01	1334803	626931	707872	-853	-713	732	1445	-140	1066	1206	522071	32
2014-01-01	1333729	626454	707275	-1074	-756	738	1494	-318	919	1237	521949	-122
2014-02-01	1332587	625865	706722	-1142	-1010	774	1784	-132	1042	1174	521854	-95
2014-03-01	1331624	625397	706227	-963	-699	657	1356	-264	1028	1292	521707	-147
2014-04-01	1325767	622271	703496	-5857	-730	745	1475	-5127	3923	9050	520637	-1070
2014-05-01	1325297	622167	703130	-470	-714	711	1425	244	3608	3364	522861	2224
2014-06-01	1324485	621682	702803	-812	-552	775	1327	-260	1252	1512	523015	154
2014-07-01	1323719	621258	702461	-766	-572	711	1283	-194	1247	1441	523160	145
2014-08-01	1323182	621004	702178	-537	-456	840	1296	-81	1584	1665	523437	277
2014-09-01	1322461	620733	701728	-721	-532	749	1281	-189	1669	1858	523626	189
2014-10-01	1321895	620565	701330	-566	-603	831	1434	37	1528	1491	523778	152
2014-11-01	1321130	620185	700945	-765	-721	784	1505	-44	1427	1471	523852	74
2014-12-01	1320329	619808	700521	-801	-729	657	1386	-72	931	1003	523708	-144
2015-01-01	1319297	619304	699993	-1032	-845	680	1525	-187	965	1152	523561	-147
2015-02-01	1318059	618669	699390	-1238	-1072	705	1777	-166	1064	1230	523470	-91
2015-03-01	1316886	618120	698766	-1173	-754	642	1396	-419	965	1384	523276	-194
2015-04-01	1310809	614893	695916	-6077	-724	737	1461	-5353	3806	9159	522501	-775
2015-05-01	1310743	615057	695686	-66	-593	735	1328	527	3458	2931	524657	2156
2015-06-01	1309993	614668	695325	-750	-661	707	1368	-89	1222	1311	524731	74
2015-07-01	1309272	614260	695012	-721	-607	750	1357	-114	1257	1371	524816	85
2015-08-01	1308552	614004	694548	-720	-620	724	1344	-100	1695	1795	525056	240
2015-09-01	1307723	613658	694065	-829	-669	713	1382	-160	1670	1830	525120	64
2015-10-01	1308649	614608	694041	-693	-592	736	1328	-101	1521	1622	510948	221
2015-11-01	1307847	614210	693637	-802	-774	707	1481	-28	1447	1475	511050	102
2015-12-01	1307015	613840	693175	-832	-758	745	1503	-74	1057	1131	510916	-134
2016-01-01	1306105	613420	692685	-910	-782	724	1506	-128	1052	1180	510801	-115
2016-02-01	1304593	612919	691674	-1128	-889	777	1666	-239	912	1151	510662	-136
2016-03-01	1303392	612373	691019	-1201	-881	662	1543	-320	1088	1408	510487	-175
2016-04-01	1297378	609235	688143	-6014	-740	743	1483	-5274	3828	9102	509465	-1022
2016-05-01	1297165	609299	687866	-213	-715	711	1426	502	3450	2948	511859	2394
2016-06-01	1296266	608773	687493	-899	-731	707	1438	-168	1254	1422	511844	-15
2016-07-01	1295463	608413	687050	-803	-641	689	1330	-162	1126	1288	511847	3
2016-08-01	1294831	608132	686699	-632	-532	716	1248	-100	1637	1737	512046	199
2016-09-01	1294209	607941	686268	-622	-641	803	1444	19	1752	1733	512214	168
2016-10-01	1293681	607729	685952	-528	-594	742	1336	66	1478	1412	512447	233
2016-11-01	1293130	607473	685657	-551	-677	758	1435	126	1353	1227	512550	103
2016-12-01	1292212	607074	685138	-918	-802	711	1513	-116	1002	1118	512447	-103
2017-01-01	1291206	606639	684567	-1006	-819	666	1485	-187	920	1107	512228	-219
2017-02-01	1290008	606029	683979	-1198	-1115	704	1819	-83	978	1061	511994	-234
