年,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
1920,2359.0,756.0,846.0,962.0,899.0,969.0,1363.0,1350.0,1046.0,1053.0,1320.0,1336.0,3699.0,1323.0,1776.0,724.0,747.0,599.0,583.0,1563.0,1070.0,1550.0,2090.0,1069.0,651.0,1287.0,2588.0,2302.0,565.0,750.0,455.0,715.0,1218.0,1542.0,1041.0,670.0,678.0,1047.0,671.0,2188.0,674.0,1136.0,1233.0,860.0,651.0,1416.0,572.0
1921,2385.9,767.4,855.3,978.0,904.5,979.6,1381.5,1355.7,1054.2,1062.3,1330.3,1335.5,3830.7,1359.0,1790.7,724.7,748.0,602.0,585.8,1578.7,1083.8,1573.9,2127.8,1065.6,653.2,1306.2,2686.6,2331.6,568.3,757.5,459.4,717.4,1224.7,1557.9,1051.9,673.3,677.2,1056.3,679.9,2209.8,682.3,1141.6,1244.9,869.2,657.9,1426.6,570.9
1922,2416.9,775.1,865.1,992.1,931.9,986.6,1385.9,1366.6,1064.5,1070.8,1341.1,1354.3,3984.2,1380.8,1799.3,723.2,748.8,597.8,589.0,1585.8,1094.9,1596.4,2169.6,1067.7,655.7,1330.3,2779.3,2363.7,572.3,764.3,462.8,719.0,1227.6,1575.1,1063.5,680.3,681.3,1067.6,678.8,2233.8,684.4,1147.3,1261.4,879.5,666.2,1436.7,570.6
1923,2448.9,784.3,880.8,1022.5,940.1,1002.3,1416.0,1389.2,1084.0,1093.7,1367.7,1382.1,3859.4,1353.9,1825.7,733.1,749.6,600.3,592.5,1602.5,1113.3,1626.7,2239.2,1088.2,658.4,1361.4,2926.9,2409.1,577.0,776.0,466.6,720.6,1235.1,1598.4,1076.9,685.1,693.6,1085.0,681.2,2261.1,683.7,1153.9,1280.0,895.1,676.7,1452.5,569.0
1924,2468.2,792.1,888.3,1035.6,926.7,1010.7,1426.0,1398.6,1091.5,1107.3,1380.0,1395.7,4185.5,1373.6,1839.7,741.6,750.1,603.6,595.0,1615.4,1121.5,1643.7,2273.8,1095.8,660.0,1388.0,2998.3,2424.8,579.6,780.4,468.5,719.7,1236.3,1605.4,1082.6,688.9,696.3,1089.3,686.3,2276.8,683.1,1157.8,1284.6,902.5,681.5,1461.1,563.9
1925,2499.0,813.0,901.0,1044.0,936.0,1027.0,1438.0,1409.0,1090.0,1119.0,1394.0,1399.0,4485.0,1417.0,1850.0,749.0,751.0,598.0,601.0,1629.0,1133.0,1671.0,2319.0,1108.0,662.0,1406.0,3060.0,2455.0,584.0,788.0,472.0,722.0,1238.0,1618.0,1095.0,690.0,700.0,1096.0,687.0,2302.0,685.0,1164.0,1296.0,915.0,691.0,1472.0,558.0
1926,2556.0,825.2,914.8,1064.0,937.5,1040.9,1464.7,1425.4,1099.2,1122.6,1412.1,1417.2,4694.4,1453.9,1863.6,758.2,752.1,597.0,603.7,1649.4,1146.5,1702.0,2369.5,1114.6,668.3,1435.9,3160.3,2494.6,580.7,796.9,478.6,725.9,1250.6,1635.8,1105.5,692.0,709.4,1111.9,694.5,2347.2,686.2,1191.0,1312.9,927.3,703.3,1486.2,561.5
1927,2612.1,836.5,928.6,1081.5,947.1,1052.4,1476.6,1439.7,1107.1,1152.4,1424.9,1426.6,4897.4,1495.9,1880.7,762.6,753.1,600.4,609.1,1665.9,1153.8,1723.1,2414.6,1119.6,673.5,1462.0,3260.0,2531.1,585.6,803.5,481.9,727.4,1258.7,1648.8,1113.1,696.7,715.6,1120.1,699.0,2386.4,687.4,1204.3,1326.8,932.8,715.3,1502.3,565.4
1928,2667.0,847.5,941.7,1099.2,957.1,1064.0,1489.4,1453.9,1115.4,1185.1,1437.6,1436.3,5101.4,1538.2,1898.0,767.8,754.2,603.9,614.1,1683.5,1160.9,1745.0,2459.7,1124.8,678.7,1488.2,3361.0,2567.8,590.4,810.2,485.1,729.3,1266.6,1661.6,1121.0,701.0,721.8,1128.3,703.5,2427.7,688.6,1225.2,1340.5,939.4,727.5,1517.0,569.3
1929,2729.5,860.9,956.8,1117.6,966.3,1070.1,1497.0,1467.0,1125.0,1189.7,1446.8,1447.0,5300.0,1580.8,1911.8,772.0,755.3,607.8,617.2,1701.9,1167.4,1767.5,2506.6,1134.0,684.2,1515.4,3456.2,2601.9,593.7,818.0,486.7,733.9,1274.2,1675.8,1129.1,707.0,726.5,1134.1,708.2,2469.6,689.8,1228.7,1342.6,940.5,740.8,1536.1,571.5
1930,2812.0,880.0,976.0,1143.0,988.0,1080.0,1508.0,1487.0,1142.0,1186.0,1459.0,1470.0,5409.0,1620.0,1933.0,779.0,757.0,618.0,631.0,1717.0,1178.0,1798.0,2567.0,1157.0,692.0,1553.0,3540.0,2646.0,596.0,831.0,489.0,740.0,1284.0,1692.0,1136.0,717.0,733.0,1142.0,718.0,2527.0,692.0,1233.0,1354.0,946.0,760.0,1557.0,578.0
1931,2869.2,897.8,989.3,1169.8,1004.6,1086.0,1523.4,1494.4,1150.8,1192.9,1472.8,1487.6,5521.1,1651.8,1958.1,786.0,754.5,624.7,634.5,1755.7,1189.1,1830.0,2635.0,1161.1,697.4,1593.9,3654.5,2697.1,600.7,840.8,500.0,741.3,1298.2,1718.1,1146.5,720.9,746.5,1169.4,728.2,2570.9,697.1,1251.4,1364.2,957.9,774.9,1568.5,578.6
1932,2916.0,912.2,1001.6,1195.4,1015.4,1098.4,1540.3,1504.0,1160.6,1200.8,1484.7,1502.0,5755.6,1684.7,1972.9,785.9,749.6,629.3,637.6,1759.9,1195.2,1857.7,2699.4,1164.5,703.1,1626.4,3791.8,2745.4,604.3,851.4,500.8,742.7,1309.1,1740.0,1157.6,723.3,758.5,1167.1,733.6,2604.5,693.2,1269.8,1377.6,966.0,787.3,1575.7,580.8
1933,2965.5,931.4,1013.5,1222.1,1025.5,1108.1,1555.4,1518.5,1171.5,1216.9,1498.6,1517.8,5975.1,1723.3,1989.0,789.7,759.2,635.5,640.9,1756.1,1207.9,1884.0,2748.5,1168.1,708.5,1650.9,3938.1,2797.9,608.9,854.3,499.8,744.3,1318.7,1763.9,1170.1,728.1,760.7,1160.6,733.5,2647.8,701.6,1281.6,1405.2,971.2,799.9,1580.0,583.9
1934,3014.9,948.9,1027.2,1232.6,1030.1,1115.0,1567.7,1533.1,1183.8,1230.1,1512.2,1531.7,6176.9,1773.8,1991.3,793.1,764.3,640.5,643.1,1737.8,1218.8,1911.8,2803.6,1171.1,709.8,1672.6,4112.7,2858.1,615.7,860.7,493.7,745.7,1323.0,1782.8,1180.9,729.2,751.2,1163.9,723.5,2707.7,685.5,1286.2,1400.9,973.1,811.3,1579.6,587.5
1935,3068.0,967.0,1046.0,1235.0,1038.0,1117.0,1582.0,1549.0,1195.0,1242.0,1529.0,1546.0,6370.0,1840.0,1996.0,799.0,768.0,647.0,647.0,1714.0,1226.0,1940.0,2863.0,1175.0,711.0,1703.0,4297.0,2923.0,620.0,864.0,490.0,747.0,1333.0,1805.0,1191.0,729.0,749.0,1165.0,715.0,2756.0,686.0,1297.0,1387.0,980.0,824.0,1591.0,592.0
1936,3114.2,972.1,1059.9,1260.5,1043.4,1112.6,1591.7,1551.7,1197.0,1254.6,1534.1,1549.7,6586.5,1923.5,2045.4,808.8,777.7,640.9,645.9,1697.1,1228.0,1984.1,2939.0,1171.0,702.8,1697.1,4462.7,3002.1,617.1,866.4,484.0,749.3,1319.4,1818.0,1210.0,729.5,735.7,1176.6,715.5,2805.1,683.1,1313.6,1365.4,973.4,819.9,1587.7,589.8
1937,3144.3,979.1,1066.1,1261.0,1045.5,1098.3,1601.8,1562.2,1197.8,1261.6,1540.9,1554.4,6725.7,1967.7,2066.9,813.6,777.1,640.6,648.1,1696.8,1233.0,1993.9,2981.2,1173.9,701.4,1702.9,4523.6,3046.3,612.8,866.1,483.2,751.2,1319.2,1822.1,1225.0,728.3,732.5,1182.0,718.0,2870.4,684.4,1327.1,1361.6,963.3,822.8,1574.7,580.3
1938,3176.2,994.6,1071.0,1236.9,1047.1,1102.8,1611.6,1564.8,1187.2,1266.2,1545.9,1558.1,6875.6,2009.1,2077.2,818.6,764.4,640.9,649.6,1697.5,1236.5,1976.5,3013.8,1175.8,700.6,1707.5,4582.5,3079.7,602.6,854.3,483.4,745.5,1320.0,1823.0,1236.8,716.1,731.7,1162.3,706.2,2974.4,685.3,1327.4,1360.6,963.7,825.3,1553.6,572.0
1939,3205.3,984.1,1071.3,1235.9,1045.6,1097.5,1605.7,1567.4,1178.9,1270.6,1552.6,1557.3,7081.6,2074.1,2049.4,816.7,749.9,638.7,650.2,1691.6,1237.9,1970.8,3055.9,1175.4,697.2,1705.4,4685.9,3116.7,592.7,843.4,480.6,729.8,1315.1,1817.4,1246.9,706.2,725.8,1143.3,697.7,3047.9,684.8,1329.7,1351.7,959.5,823.7,1544.5,569.3
1940,3229.0,985.0,1078.0,1247.0,1035.0,1100.0,1595.0,1595.0,1187.0,1280.0,1583.0,1561.0,7284.0,2158.0,2022.0,810.0,746.0,635.0,651.0,1683.0,1243.0,1983.0,3120.0,1178.0,692.0,1705.0,4737.0,3174.0,610.0,847.0,475.0,725.0,1308.0,1823.0,1266.0,707.0,716.0,1159.0,698.0,3041.0,686.0,1341.0,1338.0,953.0,823.0,1554.0,566.0
1941,3225.6,983.8,1074.9,1240.0,1026.4,1085.8,1584.1,1591.1,1180.8,1276.9,1580.7,1556.8,7284.3,2191.2,2003.3,805.4,736.6,623.8,623.8,1651.7,1235.9,1976.2,3124.0,1173.0,686.9,1696.1,4661.6,3186.8,601.3,838.4,471.7,717.8,1302.3,1825.5,1269.1,699.1,708.7,1158.5,690.7,3029.7,689.9,1402.1,1321.5,949.7,823.9,1547.2,564.0
1942,3258.1,997.6,1087.0,1250.8,1037.4,1054.2,1582.3,1601.5,1186.9,1283.9,1603.8,1569.8,7357.8,2288.0,2009.0,811.1,737.3,622.8,622.2,1646.9,1239.7,2001.4,3199.7,1178.3,688.6,1684.7,4659.2,3267.6,604.2,833.7,472.8,720.2,1308.7,1897.4,1312.1,699.7,710.0,1167.5,691.6,3040.4,695.3,1484.4,1308.6,955.9,830.6,1554.4,571.0
1943,3257.0,1008.6,1100.1,1266.6,1047.3,1057.1,1590.4,1634.4,1198.4,1304.2,1635.1,1620.9,7332.6,2437.6,2001.0,816.5,741.0,623.3,626.0,1649.8,1254.0,2021.0,3269.7,1196.1,690.7,1652.1,4507.6,3270.7,611.8,838.7,474.4,721.0,1323.5,1944.7,1345.7,701.1,711.1,1177.7,691.9,3054.6,704.6,1475.9,1336.6,970.0,835.9,1576.1,582.7
1944,3256.0,1009.0,1104.0,1276.0,1049.0,1084.0,1599.0,1657.0,1204.0,1320.0,1648.0,1659.0,7271.0,2474.0,1995.0,820.0,744.0,622.0,635.0,1651.0,1266.0,2028.0,3280.0,1209.0,692.0,1636.0,4413.0,3224.0,607.0,847.0,476.0,730.0,1333.0,1963.0,1357.0,703.0,713.0,1186.0,693.0,3066.0,706.0,1491.0,1371.0,974.0,840.0,1594.0,590.0
1945,3518.0,1083.0,1228.0,1462.0,1212.0,1326.0,1957.0,1944.0,1546.0,1546.0,2047.0,1967.0,3488.0,1866.0,2390.0,954.0,888.0,725.0,839.0,2121.0,1519.0,2220.0,2858.0,1394.0,861.0,1604.0,2801.0,2822.0,780.0,936.0,563.0,860.0,1565.0,1885.0,1356.0,836.0,864.0,1361.0,776.0,2747.0,830.0,1319.0,1556.0,1125.0,914.0,1538.0,
1946,3488.0,1089.0,1217.0,1462.0,1196.0,1295.0,1919.0,1941.0,1504.0,1525.0,2029.0,2009.0,4183.0,2020.0,2327.0,933.0,877.0,696.0,797.0,2029.0,1444.0,2260.0,2919.0,1372.0,831.0,1622.0,2976.0,2826.0,744.0,933.0,557.0,849.0,1539.0,1901.0,1375.0,829.0,872.0,1381.0,798.0,2907.0,857.0,1418.0,1632.0,1150.0,958.0,1630.0,
1947,3853.0,1180.0,1263.0,1567.0,1257.0,1336.0,1992.0,2014.0,1534.0,1573.0,2100.0,2113.0,5001.0,2218.0,2418.0,979.0,928.0,726.0,807.0,2060.0,1494.0,2353.0,3123.0,1416.0,858.0,1739.0,3335.0,3057.0,780.0,960.0,588.0,894.0,1620.0,2011.0,1479.0,855.0,918.0,1454.0,848.0,3178.0,918.0,1532.0,1766.0,1234.0,1026.0,1746.0,
