年,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
北海道,2359.0,2385.9,2416.9,2448.9,2468.2,2499.0,2556.0,2612.1,2667.0,2729.5,2812.0,2869.2,2916.0,2965.5,3014.9,3068.0,3114.2,3144.3,3176.2,3205.3,3229.0,3225.6,3258.1,3257.0,3256.0,3518.0,3488.0,3853.0,4029.7,4177.7,4296.0,4395.0,4506.0,4608.0,4690.0,4773.0,4832.0,4879.0,4949.0,5002.0,5039.0,5073.0,5099.0,5120.0,5143.0,5172.0,5187.0,5205.0,5213.0,5210.0,5184.0,5186.0,5205.0,5234.0,5283.0,5338.0,5395.0,5443.0,5490.0,5535.0,5576.0,5605.0,5630.0,5656.0,5672.0,5679.0,5673.0,5660.0,5656.0,5649.0,5644.0,5650.0,5661.0,5669.0,5681.0,5692.0,5697.0,5699.0,5695.0,5689.0,5683.0,5680.0,5672.0,5663.0,5650.0,5628.0,5605.0,5579.0,5548.0,5524.0,5506.0,5488.0,5465.0,5438.0,5410.0,5382.0,5355.0,5325.0,5293.0,5259.0,5225.0,5183.0,5140.0,5092.0,5043.0,4985.0
青森県,756.0,767.4,775.1,784.3,792.1,813.0,825.2,836.5,847.5,860.9,880.0,897.8,912.2,931.4,948.9,967.0,972.1,979.1,994.6,984.1,985.0,983.8,997.6,1008.6,1009.0,1083.0,1089.0,1180.0,1220.0,1253.4,1283.0,1303.0,1324.0,1343.0,1363.0,1383.0,1396.0,1406.0,1416.0,1424.0,1427.0,1427.0,1421.0,1419.0,1419.0,1417.0,1418.0,1423.0,1426.0,1429.0,1428.0,1429.0,1436.0,1444.0,1454.0,1469.0,1484.0,1496.0,1507.0,1516.0,1524.0,1526.0,1527.0,1528.0,1527.0,1524.0,1517.0,1511.0,1502.0,1492.0,1483.0,1479.0,1476.0,1476.0,1480.0,1482.0,1483.0,1481.0,1479.0,1477.0,1476.0,1473.0,1467.0,1459.0,1448.0,1437.0,1424.0,1409.0,1395.0,1383.0,1373.0,1363.0,1350.0,1337.0,1323.0,1308.0,1295.0,1282.0,1268.0,1253.0,1238.0,1221.0,1204.0,1184.0,1165.0,1140.0
岩手県,846.0,855.3,865.1,880.8,888.3,901.0,914.8,928.6,941.7,956.8,976.0,989.3,1001.6,1013.5,1027.2,1046.0,1059.9,1066.1,1071.0,1071.3,1078.0,1074.9,1087.0,1100.1,1104.0,1228.0,1217.0,1263.0,1304.0,1326.5,1347.0,1365.0,1383.0,1399.0,1411.0,1427.0,1437.0,1440.0,1446.0,1450.0,1449.0,1444.0,1438.0,1431.0,1420.0,1411.0,1403.0,1396.0,1390.0,1382.0,1371.0,1366.0,1366.0,1369.0,1375.0,1386.0,1395.0,1401.0,1409.0,1416.0,1422.0,1426.0,1429.0,1432.0,1433.0,1434.0,1431.0,1427.0,1424.0,1419.0,1417.0,1416.0,1416.0,1417.0,1418.0,1420.0,1420.0,1419.0,1419.0,1417.0,1416.0,1413.0,1407.0,1401.0,1395.0,1385.0,1375.0,1364.0,1352.0,1340.0,1330.0,1315.0,1306.0,1299.0,1290.0,1280.0,1268.0,1254.0,1240.0,1226.0,1211.0,1196.0,1181.0,1163.0,1145.0,1126.0
宮城県,962.0,978.0,992.1,1022.5,1035.6,1044.0,1064.0,1081.5,1099.2,1117.6,1143.0,1169.8,1195.4,1222.1,1232.6,1235.0,1260.5,1261.0,1236.9,1235.9,1247.0,1240.0,1250.8,1266.6,1276.0,1462.0,1462.0,1567.0,1606.6,1635.0,1663.0,1667.0,1681.0,1693.0,1707.0,1727.0,1740.0,1739.0,1743.0,1747.0,1743.0,1740.0,1735.0,1738.0,1745.0,1753.0,1760.0,1774.0,1789.0,1803.0,1819.0,1839.0,1861.0,1891.0,1924.0,1955.0,1984.0,2008.0,2032.0,2059.0,2082.0,2104.0,2125.0,2144.0,2161.0,2176.0,2190.0,2206.0,2221.0,2236.0,2249.0,2267.0,2283.0,2299.0,2313.0,2329.0,2338.0,2348.0,2355.0,2360.0,2365.0,2369.0,2369.0,2369.0,2366.0,2360.0,2358.0,2354.0,2349.0,2348.0,2348.0,2326.0,2329.0,2333.0,2335.0,2334.0,2332.0,2326.0,2320.0,2312.0,2302.0,2290.0,2280.0,2264.0,2248.0,2227.0
秋田県,899.0,904.5,931.9,940.1,926.7,936.0,937.5,947.1,957.1,966.3,988.0,1004.6,1015.4,1025.5,1030.1,1038.0,1043.4,1045.5,1047.1,1045.6,1035.0,1026.4,1037.4,1047.3,1049.0,1212.0,1196.0,1257.0,1271.3,1291.2,1309.0,1315.0,1322.0,1330.0,1337.0,1349.0,1350.0,1347.0,1343.0,1342.0,1336.0,1327.0,1313.0,1302.0,1292.0,1280.0,1270.0,1264.0,1256.0,1249.0,1241.0,1234.0,1230.0,1227.0,1228.0,1232.0,1239.0,1245.0,1250.0,1254.0,1257.0,1259.0,1258.0,1256.0,1255.0,1254.0,1249.0,1244.0,1238.0,1232.0,1227.0,1223.0,1220.0,1217.0,1216.0,1214.0,1210.0,1205.0,1200.0,1195.0,1189.0,1183.0,1175.0,1165.0,1156.0,1146.0,1134.0,1121.0,1109.0,1097.0,1086.0,1075.0,1063.0,1050.0,1037.0,1023.0,1011.0,999.0,985.0,972.0,960.0,945.0,930.0,914.0,897.0,882.0
山形県,969.0,979.6,986.6,1002.3,1010.7,1027.0,1040.9,1052.4,1064.0,1070.1,1080.0,1086.0,1098.4,1108.1,1115.0,1117.0,1112.6,1098.3,1102.8,1097.5,1100.0,1085.8,1054.2,1057.1,1084.0,1326.0,1295.0,1336.0,1350.8,1353.6,1357.0,1351.0,1348.0,1350.0,1350.0,1354.0,1350.0,1344.0,1337.0,1329.0,1321.0,1310.0,1296.0,1285.0,1275.0,1263.0,1252.0,1247.0,1240.0,1233.0,1226.0,1219.0,1215.0,1214.0,1216.0,1220.0,1227.0,1234.0,1241.0,1247.0,1252.0,1255.0,1257.0,1258.0,1260.0,1262.0,1262.0,1262.0,1262.0,1260.0,1258.0,1257.0,1257.0,1256.0,1256.0,1257.0,1255.0,1253.0,1251.0,1247.0,1244.0,1241.0,1236.0,1230.0,1224.0,1216.0,1207.0,1198.0,1188.0,1178.0,1169.0,1162.0,1153.0,1144.0,1134.0,1124.0,1114.0,1103.0,1092.0,1080.0,1068.0,1055.0,1041.0,1026.0,1011.0,993.0
福島県,1363.0,1381.5,1385.9,1416.0,1426.0,1438.0,1464.7,1476.6,1489.4,1497.0,1508.0,1523.4,1540.3,1555.4,1567.7,1582.0,1591.7,1601.8,1611.6,1605.7,1595.0,1584.1,1582.3,1590.4,1599.0,1957.0,1919.0,1992.0,2012.6,2039.7,2062.0,2067.0,2073.0,2078.0,2085.0,2095.0,2093.0,2082.0,2078.0,2069.0,2051.0,2037.0,2021.0,2007.0,1995.0,1984.0,1969.0,1963.0,1955.0,1951.0,1946.0,1942.0,1943.0,1949.0,1960.0,1971.0,1984.0,1998.0,2012.0,2023.0,2035.0,2043.0,2052.0,2061.0,2071.0,2080.0,2085.0,2091.0,2095.0,2100.0,2104.0,2109.0,2116.0,2123.0,2129.0,2134.0,2134.0,2134.0,2132.0,2129.0,2127.0,2124.0,2118.0,2110.0,2102.0,2091.0,2080.0,2067.0,2054.0,2041.0,2029.0,1988.0,1957.0,1940.0,1927.0,1914.0,1903.0,1886.0,1869.0,1852.0,1833.0,1812.0,1790.0,1767.0,1743.0,1712.0
茨城県,1350.0,1355.7,1366.6,1389.2,1398.6,1409.0,1425.4,1439.7,1453.9,1467.0,1487.0,1494.4,1504.0,1518.5,1533.1,1549.0,1551.7,1562.2,1564.8,1567.4,1595.0,1591.1,1601.5,1634.4,1657.0,1944.0,1941.0,2014.0,2029.4,2035.9,2039.0,2037.0,2042.0,2050.0,2058.0,2064.0,2065.0,2062.0,2057.0,2051.0,2047.0,2053.0,2056.0,2053.0,2055.0,2056.0,2052.0,2064.0,2079.0,2109.0,2144.0,2180.0,2210.0,2251.0,2298.0,2342.0,2380.0,2417.0,2463.0,2510.0,2558.0,2595.0,2636.0,2670.0,2698.0,2725.0,2746.0,2769.0,2795.0,2822.0,2845.0,2871.0,2898.0,2920.0,2940.0,2956.0,2966.0,2973.0,2980.0,2981.0,2986.0,2990.0,2987.0,2985.0,2982.0,2975.0,2974.0,2973.0,2971.0,2970.0,2970.0,2960.0,2947.0,2937.0,2927.0,2917.0,2910.0,2902.0,2892.0,2879.0,2867.0,2852.0,2840.0,2825.0,2806.0,2791.0
栃木県,1046.0,1054.2,1064.5,1084.0,1091.5,1090.0,1099.2,1107.1,1115.4,1125.0,1142.0,1150.8,1160.6,1171.5,1183.8,1195.0,1197.0,1197.8,1187.2,1178.9,1187.0,1180.8,1186.9,1198.4,1204.0,1546.0,1504.0,1534.0,1539.6,1546.9,1550.0,1548.0,1546.0,1545.0,1545.0,1548.0,1543.0,1535.0,1530.0,1517.0,1514.0,1513.0,1513.0,1516.0,1519.0,1522.0,1523.0,1531.0,1543.0,1559.0,1580.0,1605.0,1627.0,1653.0,1678.0,1698.0,1717.0,1736.0,1753.0,1775.0,1792.0,1807.0,1822.0,1835.0,1850.0,1866.0,1880.0,1895.0,1908.0,1921.0,1935.0,1948.0,1959.0,1969.0,1977.0,1984.0,1991.0,1996.0,2001.0,2003.0,2005.0,2011.0,2012.0,2014.0,2016.0,2017.0,2016.0,2016.0,2015.0,2011.0,2008.0,2000.0,1992.0,1986.0,1980.0,1974.0,1969.0,1962.0,1953.0,1943.0,1933.0,1921.0,1909.0,1897.0,1885.0,1865.0
群馬県,1053.0,1062.3,1070.8,1093.7,1107.3,1119.0,1122.6,1152.4,1185.1,1189.7,1186.0,1192.9,1200.8,1216.9,1230.1,1242.0,1254.6,1261.6,1266.2,1270.6,1280.0,1276.9,1283.9,1304.2,1320.0,1546.0,1525.0,1573.0,1584.1,1593.6,1601.0,1602.0,1604.0,1609.0,1610.0,1614.0,1612.0,1601.0,1592.0,1588.0,1578.0,1581.0,1584.0,1589.0,1597.0,1606.0,1605.0,1617.0,1629.0,1643.0,1659.0,1676.0,1695.0,1718.0,1740.0,1756.0,1778.0,1799.0,1817.0,1833.0,1849.0,1864.0,1879.0,1893.0,1908.0,1921.0,1931.0,1941.0,1949.0,1959.0,1966.0,1974.0,1984.0,1990.0,1996.0,2004.0,2009.0,2013.0,2017.0,2020.0,2025.0,2029.0,2030.0,2030.0,2027.0,2024.0,2022.0,2020.0,2017.0,2014.0,2008.0,2001.0,1994.0,1986.0,1979.0,1973.0,1969.0,1963.0,1957.0,1949.0,1939.0,1927.0,1913.0,1902.0,1890.0,1868.0
